,Feature 1,Feature 2,Accuracy 1,Accuracy 2,Accuracy 3,Average Accuracy
147,flag,dst_host_count,0.6567164179104478,0.5970149253731343,0.6467661691542289,0.6334991708126037
148,flag,dst_host_srv_count,0.6368159203980099,0.6666666666666666,0.5970149253731343,0.6334991708126037
219,dst_bytes,srv_diff_host_rate,0.6467661691542289,0.6517412935323383,0.6019900497512438,0.6334991708126037
831,dst_host_same_srv_rate,dst_host_srv_rerror_rate,0.6567164179104478,0.6069651741293532,0.6368159203980099,0.6334991708126037
351,hot,same_srv_rate,0.6417910447761194,0.6517412935323383,0.6069651741293532,0.6334991708126037
210,dst_bytes,is_guest_login,0.6268656716417911,0.6119402985074627,0.6616915422885572,0.6334991708126037
161,src_bytes,urgent,0.6517412935323383,0.6268656716417911,0.6169154228855721,0.6318407960199005
201,dst_bytes,num_compromised,0.6766169154228856,0.6318407960199005,0.5870646766169154,0.6318407960199005
207,dst_bytes,num_access_files,0.6567164179104478,0.6268656716417911,0.6119402985074627,0.6318407960199005
286,wrong_fragment,same_srv_rate,0.6318407960199005,0.6069651741293532,0.6567164179104478,0.6318407960199005
154,flag,dst_host_srv_serror_rate,0.6318407960199005,0.6517412935323383,0.6119402985074627,0.6318407960199005
779,same_srv_rate,dst_host_srv_serror_rate,0.6616915422885572,0.6069651741293532,0.6268656716417911,0.6318407960199005
130,flag,su_attempted,0.6616915422885572,0.6417910447761194,0.5920398009950248,0.6318407960199005
441,num_compromised,same_srv_rate,0.6119402985074627,0.6368159203980099,0.6467661691542289,0.6318407960199005
830,dst_host_same_srv_rate,dst_host_rerror_rate,0.6965174129353234,0.5671641791044776,0.6318407960199005,0.6318407960199005
153,flag,dst_host_serror_rate,0.6417910447761194,0.6119402985074627,0.6368159203980099,0.6301824212271974
766,srv_rerror_rate,dst_host_srv_serror_rate,0.7064676616915423,0.582089552238806,0.6019900497512438,0.6301824212271974
218,dst_bytes,diff_srv_rate,0.6218905472636815,0.6517412935323383,0.6169154228855721,0.6301824212271973
144,flag,same_srv_rate,0.5970149253731343,0.6467661691542289,0.6467661691542289,0.6301824212271973
111,service,dst_host_same_srv_rate,0.6865671641791045,0.6218905472636815,0.582089552238806,0.6301824212271973
821,dst_host_srv_count,dst_host_srv_serror_rate,0.6567164179104478,0.6119402985074627,0.6218905472636815,0.6301824212271973
141,flag,srv_serror_rate,0.6218905472636815,0.6069651741293532,0.6567164179104478,0.6285240464344942
818,dst_host_srv_count,dst_host_same_src_port_rate,0.6616915422885572,0.5970149253731343,0.6268656716417911,0.6285240464344942
128,flag,num_compromised,0.6169154228855721,0.6567164179104478,0.6119402985074627,0.6285240464344942
782,same_srv_rate,??,0.6517412935323383,0.6268656716417911,0.6069651741293532,0.6285240464344942
771,same_srv_rate,srv_diff_host_rate,0.6069651741293532,0.5970149253731343,0.681592039800995,0.6285240464344942
206,dst_bytes,num_shells,0.582089552238806,0.6716417910447762,0.6318407960199005,0.6285240464344942
356,hot,dst_host_same_srv_rate,0.6417910447761194,0.6467661691542289,0.5970149253731343,0.6285240464344942
177,src_bytes,serror_rate,0.6069651741293532,0.6268656716417911,0.6467661691542289,0.6268656716417911
202,dst_bytes,root_shell,0.6368159203980099,0.6517412935323383,0.5920398009950248,0.6268656716417911
134,flag,num_access_files,0.6716417910447762,0.5920398009950248,0.6169154228855721,0.6268656716417911
681,count,dst_host_same_srv_rate,0.6218905472636815,0.6368159203980099,0.6218905472636815,0.626865671641791
220,dst_bytes,dst_host_count,0.6517412935323383,0.6567164179104478,0.5671641791044776,0.6252072968490879
142,flag,rerror_rate,0.5970149253731343,0.582089552238806,0.6965174129353234,0.6252072968490879
824,dst_host_srv_count,??,0.6567164179104478,0.6218905472636815,0.5970149253731343,0.6252072968490879
807,dst_host_count,dst_host_same_srv_rate,0.6865671641791045,0.5920398009950248,0.5970149253731343,0.6252072968490879
95,service,num_shells,0.6169154228855721,0.6467661691542289,0.6119402985074627,0.6252072968490879
522,num_root,same_srv_rate,0.6766169154228856,0.6069651741293532,0.5920398009950248,0.6252072968490879
547,num_file_creations,same_srv_rate,0.5920398009950248,0.6368159203980099,0.6467661691542289,0.6252072968490879
217,dst_bytes,same_srv_rate,0.6218905472636815,0.5970149253731343,0.6567164179104478,0.6252072968490879
203,dst_bytes,su_attempted,0.6268656716417911,0.6218905472636815,0.6218905472636815,0.6235489220563847
171,src_bytes,num_access_files,0.6318407960199005,0.6467661691542289,0.5920398009950248,0.6235489220563847
146,flag,srv_diff_host_rate,0.6517412935323383,0.6119402985074627,0.6069651741293532,0.6235489220563847
89,service,logged_in,0.6417910447761194,0.6169154228855721,0.6119402985074627,0.6235489220563847
119,service,??,0.6169154228855721,0.6368159203980099,0.6169154228855721,0.6235489220563847
88,service,num_failed_logins,0.6119402985074627,0.6218905472636815,0.6368159203980099,0.6235489220563847
760,srv_rerror_rate,dst_host_srv_count,0.6517412935323383,0.6119402985074627,0.6069651741293532,0.6235489220563847
99,service,is_guest_login,0.6368159203980099,0.6467661691542289,0.582089552238806,0.6218905472636816
571,num_shells,same_srv_rate,0.6268656716417911,0.6069651741293532,0.6318407960199005,0.6218905472636816
501,su_attempted,dst_host_same_srv_rate,0.6119402985074627,0.6169154228855721,0.6368159203980099,0.6218905472636816
772,same_srv_rate,dst_host_count,0.6368159203980099,0.6119402985074627,0.6169154228855721,0.6218905472636815
184,src_bytes,dst_host_count,0.6119402985074627,0.6218905472636815,0.6318407960199005,0.6218905472636815
96,service,num_access_files,0.6666666666666666,0.6218905472636815,0.5771144278606966,0.6218905472636815
773,same_srv_rate,dst_host_srv_count,0.6616915422885572,0.6069651741293532,0.5970149253731343,0.6218905472636815
599,num_access_files,dst_host_same_srv_rate,0.6019900497512438,0.6019900497512438,0.6567164179104478,0.6202321724709785
780,same_srv_rate,dst_host_rerror_rate,0.5920398009950248,0.6517412935323383,0.6169154228855721,0.6202321724709784
527,num_root,dst_host_same_srv_rate,0.5920398009950248,0.6517412935323383,0.6169154228855721,0.6202321724709784
257,land,dst_host_same_srv_rate,0.6019900497512438,0.6467661691542289,0.6119402985074627,0.6202321724709784
170,src_bytes,num_shells,0.6218905472636815,0.5970149253731343,0.6417910447761194,0.6202321724709784
